email,frequency
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2272,26
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1190,26
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2424,7
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2544,7
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2355,7
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\722,7
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\361,6
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\786,5
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1868,5
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1776,5
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\720,5
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1825,5
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1374,4
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1373,4
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\914,4
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\3945,4
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\458,4
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\388,4
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2007,4
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\973,4
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\976,4
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\207,4
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1434,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4261,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4332,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4331,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4156,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\142,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2210,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2019,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4155,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\3977,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\952,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4166,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2326,3
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\50,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1760,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1761,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\273,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1008,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\155,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\674,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\548,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\148,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4091,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2569,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4165,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\24,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1541,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4127,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1433,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\806,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1322,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1973,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1007,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\101,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\745,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\3953,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4135,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\683,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4092,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1113,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4060,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1583,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1045,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\906,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\664,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1810,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\208,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4210,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1581,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1731,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\261,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1188,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2017,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4085,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4247,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\625,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4582,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4022,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4032,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1046,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\775,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2038,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\473,2
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\958,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\393,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2233,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4086,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4448,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\343,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4802,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4108,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1560,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1850,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\420,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\774,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\905,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\916,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1395,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\924,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\503,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4777,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4562,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\17,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\540,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2325,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4113,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2245,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1355,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\505,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1498,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4831,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4144,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\451,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4129,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2462,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4288,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\66,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1448,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4107,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1189,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1896,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4434,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2345,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1449,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1000,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4758,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\962,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4570,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1468,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1440,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1019,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1655,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4098,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1579,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4832,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1396,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1182,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\400,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1090,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4572,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4081,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\959,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\840,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1582,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\563,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\549,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1709,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1683,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1654,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4185,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\999,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\865,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2441,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4571,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1010,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1473,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\816,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4501,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\756,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1127,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1474,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4585,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1250,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\862,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1299,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\763,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2044,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1048,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\743,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\818,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\631,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\3920,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\219,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1471,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\771,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\218,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2529,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1873,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1263,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\708,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4359,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\817,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1814,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1149,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\282,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4342,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4632,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4029,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1895,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1445,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1497,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4294,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2161,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1694,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1821,1
